No.	Area_id	分列1	分列2	hex	JP_name	EN_name	CN_name
1	0-0	0	0	0000	バトルセンター	Battle Link Center	对战中心
2	0-1	0	1	0100	取引センター	Trade Link Center	交易中心
3	0-2	0	2	0200	四路データ交換センタ	4-Way Data Swap Center	四路数据交换中心
4	0-3	0	3	0300	四路バトルセンター	4-Way Battle Center	四路对战中心
5	0-4	0	4	0400	-	-	-
6	1-0	1	0	0001	トキワのもり	Viridian Forest	常青森林
7	1-1	1	1	0101	オツキミやま	Mt. Moon	月见山
8	1-2	1	2	0201	オツキミやま	Mt. Moon	月见山
9	1-3	1	3	0301	オツキミやま	Mt. Moon	月见山
10	1-4	1	4	0401	サント・アンヌごう	S.S. Anne	圣特安努号
11	1-5	1	5	0501	サント・アンヌごう	S.S. Anne	圣特安努号
12	1-6	1	6	0601	サント・アンヌごう	S.S. Anne	圣特安努号
13	1-7	1	7	0701	サント・アンヌごう	S.S. Anne	圣特安努号
14	1-8	1	8	0801	サント・アンヌごう	S.S. Anne	圣特安努号
15	1-9	1	9	0901	サント・アンヌごう	S.S. Anne	圣特安努号
16	1-10	1	10	0A01	サント・アンヌごう	S.S. Anne	圣特安努号
17	1-11	1	11	0B01	サント・アンヌごう	S.S. Anne	圣特安努号
18	1-12	1	12	0C01	サント・アンヌごう	S.S. Anne	圣特安努号
19	1-13	1	13	0D01	サント・アンヌごう	S.S. Anne	圣特安努号
20	1-14	1	14	0E01	サント・アンヌごう	S.S. Anne	圣特安努号
21	1-15	1	15	0F01	サント・アンヌごう	S.S. Anne	圣特安努号
22	1-16	1	16	1001	サント・アンヌごう	S.S. Anne	圣特安努号
23	1-17	1	17	1101	サント・アンヌごう	S.S. Anne	圣特安努号
24	1-18	1	18	1201	サント・アンヌごう	S.S. Anne	圣特安努号
25	1-19	1	19	1301	サント・アンヌごう	S.S. Anne	圣特安努号
26	1-20	1	20	1401	サント・アンヌごう	S.S. Anne	圣特安努号
27	1-21	1	21	1501	サント・アンヌごう	S.S. Anne	圣特安努号
28	1-22	1	22	1601	サント・アンヌごう	S.S. Anne	圣特安努号
29	1-23	1	23	1701	サント・アンヌごう	S.S. Anne	圣特安努号
30	1-24	1	24	1801	サント・アンヌごう	S.S. Anne	圣特安努号
31	1-25	1	25	1901	サント・アンヌごう	S.S. Anne	圣特安努号
32	1-26	1	26	1A01	サント・アンヌごう	S.S. Anne	圣特安努号
33	1-27	1	27	1B01	サント・アンヌごう	S.S. Anne	圣特安努号
34	1-28	1	28	1C01	サント・アンヌごう	S.S. Anne	圣特安努号
35	1-29	1	29	1D01	サント・アンヌごう	S.S. Anne	圣特安努号
36	1-30	1	30	1E01	ちかつうろ	Underground Path	地下通道
37	1-31	1	31	1F01	ちかつうろ	Underground Path	地下通道
38	1-32	1	32	2001	ちかつうろ	Underground Path	地下通道
39	1-33	1	33	2101	ちかつうろ	Underground Path	地下通道
40	1-34	1	34	2201	ちかつうろ	Underground Path	地下通道
41	1-35	1	35	2301	ちかつうろ	Underground Path	地下通道
42	1-36	1	36	2401	ディグダのあな	Diglett's Cave	地鼠洞穴
43	1-37	1	37	2501	ディグダのあな	Diglett's Cave	地鼠洞穴
44	1-38	1	38	2601	ディグダのあな	Diglett's Cave	地鼠洞穴
45	1-39	1	39	2701	チャンピオンロード	Victory Road	冠军之路
46	1-40	1	40	2801	チャンピオンロード	Victory Road	冠军之路
47	1-41	1	41	2901	チャンピオンロード	Victory Road	冠军之路
48	1-42	1	42	2A01	ロケットだんそうこ	Rocket Warehouse	火箭队仓库
49	1-43	1	43	2B01	ロケットだんそうこ	Rocket Warehouse	火箭队仓库
50	1-44	1	44	2C01	ロケットだんそうこ	Rocket Warehouse	火箭队仓库
51	1-45	1	45	2D01	ロケットだんそうこ	Rocket Warehouse	火箭队仓库
52	1-46	1	46	2E01	ロケットだんそうこ	Rocket Warehouse	火箭队仓库
53	1-47	1	47	2F01	シルフカンパニー　1Ｆ	Silph Co. 1F	西尔佛公司 1F
54	1-48	1	48	3001	シルフカンパニー　2Ｆ	Silph Co. 2F	西尔佛公司 2F
