No.	jp_Char_map	HEX	en_Char_map	HEX
0		00		00
1	あ	01	À	01
2	い	02	Á	02
3	う	03	Â	03
4	え	04	Ç	04
5	お	05	È	05
6	か	06	É	06
7	き	07	Ê	07
8	く	08	Ë	08
9	け	09	Ì	09
10	こ	0A		0A
11	さ	0B	Î	0B
12	し	0C	Ï	0C
13	す	0D	Ò	0D
14	せ	0E	Ó	0E
15	そ	0F	Ô	0F
16	た	10	Œ	10
17	ち	11	Ù	11
18	つ	12	Ú	12
19	て	13	Û	13
20	と	14	Ñ	14
21	な	15	ß	15
22	に	16	à	16
23	ぬ	17	á	17
24	ね	18		18
25	の	19	ç	19
26	は	1A	è	1A
27	ひ	1B	é	1B
28	ふ	1C	ê	1C
29	へ	1D	ë	1D
30	ほ	1E	ì	1E
31	ま	1F		1F
32	み	20	î	20
33	む	21	ï	21
34	め	22	ò	22
35	も	23	ó	23
36	や	24	ô	24
37	ゆ	25	œ	25
38	よ	26	ù	26
39	ら	27	ú	27
40	り	28	û	28
41	る	29	ñ	29
42	れ	2A	º	2A
43	ろ	2B	ª	2B
44	わ	2C	ᵉʳ	2C
45	を	2D	&	2D
46	ん	2E	+	2E
47	ぁ	2F		2F
48	ぃ	30		30
49	ぅ	31		31
50	ぇ	32		32
51	ぉ	33		33
52	ゃ	34	Lv	34
53	ゅ	35	=	35
54	ょ	36	;	36
55	が	37		37
56	ぎ	38		38
57	ぐ	39		39
58	げ	3A		3A
59	ご	3B		3B
60	ざ	3C		3C
61	じ	3D		3D
62	ず	3E		3E
63	ぜ	3F		3F
64	ぞ	40		40
65	だ	41		41
66	ぢ	42		42
67	づ	43		43
68	で	44		44
69	ど	45		45
70	ば	46		46
71	び	47		47
72	ぶ	48		48
73	べ	49		49
74	ぼ	4A		4A
75	ぱ	4B		4B
76	ぴ	4C		4C
77	ぷ	4D		4D
78	ぺ	4E		4E
79	ぽ	4F		4F
80	っ	50		50
81	ア	51	¿	51
82	イ	52	¡	52
83	ウ	53	PK	53
84	エ	54	MN	54
85	オ	55	POL	55
86	カ	56	{é	56
87	キ	57	Bレ	57
88	ク	58	)CI	58
89	ケ	59	κ	59
90	コ	5A	Í	5A
91	サ	5B	%	5B
92	シ	5C	(	5C
93	ス	5D	)	5D
94	セ	5E		5E
95	ソ	5F		5F
96	タ	60		60
97	チ	61		61
98	ツ	62		62
99	テ	63		63
100	ト	64		64
101	ナ	65		65
102	ニ	66		66
103	ヌ	67		67
104	ネ	68	â	68
105	ノ	69		69
106	ハ	6A		6A
107	ヒ	6B		6B
108	フ	6C		6C
109	ヘ	6D		6D
110	ホ	6E		6E
111	マ	6F	í	6F
112	ミ	70		70
113	ム	71		71
114	メ	72		72
115	モ	73		73
116	ヤ	74		74
117	ユ	75		75
118	ヨ	76		76
119	ラ	77		77
120	リ	78		78
121	ル	79	↑	79
122	レ	7A	↓	7A
123	ロ	7B	←	7B
124	ワ	7C	→	7C
125	ヲ	7D		7D
126	ン	7E		7E
127	ァ	7F		7F
128	ィ	80		80
129	ゥ	81		81
130	ェ	82		82
131	ォ	83		83
132	ャ	84	ᵉ	84
133	ュ	85	<	85
134	ョ	86	>	86
135	ガ	87		87
136	ギ	88		88
137	グ	89		89
138	ゲ	8A		8A
139	ゴ	8B		8B
140	ザ	8C		8C
141	ジ	8D		8D
142	ズ	8E		8E
143	ゼ	8F		8F
144	ゾ	90		90
145	ダ	91		91
146	ヂ	92		92
147	ヅ	93		93
148	デ	94		94
149	ド	95		95
150	バ	96		96
151	ビ	97		97
152	ブ	98		98
153	ベ	99		99
154	ボ	9A		9A
155	パ	9B		9B
156	ピ	9C		9C
157	プ	9D		9D
158	ペ	9E		9E
159	ポ	9F		9F
160	ッ	A0	ʳᵉ	A0
161	0	A1	0	A1
162	1	A2	1	A2
163	2	A3	2	A3
164	3	A4	3	A4
165	4	A5	4	A5
166	5	A6	5	A6
167	6	A7	6	A7
168	7	A8	7	A8
169	8	A9	8	A9
170	9	AA	9	AA
171	！	AB	!	AB
172	？	AC	?	AC
173	。	AD	.	AD
174	ー	AE	-	AE
175	・	AF	･	AF
176	…	B0	…	B0
177	『	B1	“	B1
178	』	B2	”	B2
179	「	B3	‘	B3
180	」	B4	’	B4
181	♂	B5	♂	B5
182	♀	B6	♀	B6
183	円	B7	₽	B7
184	.	B8	,	B8
185	×	B9	×	B9
186	/	BA	/	BA
187	A	BB	A	BB
188	B	BC	B	BC
189	C	BD	C	BD
190	D	BE	D	BE
191	E	BF	E	BF
192	F	C0	F	C0
193	G	C1	G	C1
194	H	C2	H	C2
195	I	C3	I	C3
