No.	HEX	JP_name	EN_name	CN_name	Vers
0	0000	N/A	N/A	N/A	
1	0001	フシギダネ	Bulbasaur	妙蛙种子	
2	0002	フシギソウ	Ivysaur	妙蛙草	
3	0003	フシギバナ	Venusaur	妙蛙花	
4	0004	ヒトカゲ	Charmander	小火龙	
5	0005	リザード	Charmeleon	火恐龙	
6	0006	リザードン	Charizard	喷火龙	
7	0007	ゼニガメ	Squirtle	杰尼龟	
8	0008	カメール	Wartortle	卡咪龟	
9	0009	カメックス	Blastoise	水箭龟	
10	000A	キャタピー	Caterpie	绿毛虫	
11	000B	トランセル	Metapod	铁甲蛹	
12	000C	バタフリー	Butterfree	巴大蝶	
13	000D	ビードル	Weedle	独角虫	
14	000E	コクーン	Kakuna	铁壳蛹	
15	000F	スピアー	Beedrill	大针蜂	
16	0010	ポッポ	Pidgey	波波	
17	0011	ピジョン	Pidgeotto	比比鸟	
18	0012	ピジョット	Pidgeot	大比鸟	
19	0013	コラッタ	Rattata	小拉达	
20	0014	ラッタ	Raticate	拉达	
21	0015	オニスズメ	Spearow	烈雀	
22	0016	オニドリル	Fearow	大嘴雀	
23	0017	アーボ	Ekans	阿柏蛇	FR
24	0018	アーボック	Arbok	阿柏怪	FR
25	0019	ピカチュウ	Pikachu	皮卡丘	
26	001A	ライチュウ	Raichu	雷丘	
27	001B	サンド	Sandshrew	穿山鼠	LG
28	001C	サンドパン	Sandslash	穿山王	LG
29	001D	ニドラン♀	Nidoran♀	尼多兰	
30	001E	ニドリーナ	Nidorina	尼多娜	
31	001F	ニドクイン	Nidoqueen	尼多后	
32	0020	ニドラン♂	Nidoran♂	尼多朗	
33	0021	ニドリーノ	Nidorino	尼多力诺	
34	0022	ニドキング	Nidoking	尼多王	
35	0023	ピッピ	Clefairy	皮皮	
36	0024	ピクシー	Clefable	皮可西	
37	0025	ロコン	Vulpix	六尾	LG
38	0026	キュウコン	Ninetales	九尾	LG
39	0027	プリン	Jigglypuff	胖丁	
40	0028	プクリン	Wigglytuff	胖可丁	
41	0029	ズバット	Zubat	超音蝠	
42	002A	ゴルバット	Golbat	大嘴蝠	
43	002B	ナゾノクサ	Oddish	走路草	FR
44	002C	クサイハナ	Gloom	臭臭花	FR
45	002D	ラフレシア	Vileplume	霸王花	
46	002E	パラス	Paras	派拉斯	
47	002F	パラセクト	Parasect	派拉斯特	
48	0030	コンパン	Venonat	毛球	
49	0031	モルフォン	Venomoth	摩鲁蛾	
50	0032	ディグダ	Diglett	地鼠	
51	0033	ダグトリオ	Dugtrio	三地鼠	
52	0034	ニャース	Meowth	喵喵	
53	0035	ペルシアン	Persian	猫老大	
54	0036	コダック	Psyduck	可达鸭	FR
55	0037	ゴルダック	Golduck	哥达鸭	FR
56	0038	マンキー	Mankey	猴怪	
57	0039	オコリザル	Primeape	火暴猴	
58	003A	ガーディ	Growlithe	卡蒂狗	FR
59	003B	ウインディ	Arcanine	风速狗	FR
60	003C	ニョロモ	Poliwag	蚊香蝌蚪	
61	003D	ニョロゾ	Poliwhirl	蚊香君	
62	003E	ニョロボン	Poliwrath	蚊香泳士	
63	003F	ケーシィ	Abra	凯西	
64	0040	ユンゲラー	Kadabra	勇基拉	
65	0041	フーディン	Alakazam	胡地	
66	0042	ワンリキー	Machop	腕力	
67	0043	ゴーリキー	Machoke	豪力	
68	0044	カイリキー	Machamp	怪力	
69	0045	マダツボミ	Bellsprout	喇叭芽	LG
70	0046	ウツドン	Weepinbell	口呆花	LG
71	0047	ウツボット	Victreebel	大食花	LG
72	0048	メノクラゲ	Tentacool	玛瑙水母	
73	0049	ドククラゲ	Tentacruel	毒刺水母	
74	004A	イシツブテ	Geodude	小拳石	
75	004B	ゴローン	Graveler	隆隆石	
76	004C	ゴローニャ	Golem	隆隆岩	
77	004D	ポニータ	Ponyta	小火马	
78	004E	ギャロップ	Rapidash	烈焰马	
79	004F	ヤドン	Slowpoke	呆呆兽	LG
80	0050	ヤドラン	Slowbro	呆壳兽	LG
81	0051	コイル	Magnemite	小磁怪	
82	0052	レアコイル	Magneton	三合一磁怪	
83	0053	カモネギ	Farfetch’d	大葱鸭	
84	0054	ドードー	Doduo	嘟嘟	
85	0055	ドードリオ	Dodrio	嘟嘟利	
86	0056	パウワウ	Seel	小海狮	
87	0057	ジュゴン	Dewgong	白海狮	
88	0058	ベトベター	Grimer	臭泥	
89	0059	ベトベトン	Muk	臭臭泥	
90	005A	シェルダー	Shellder	大舌贝	FR
91	005B	パルシェン	Cloyster	刺甲贝	FR
92	005C	ゴース	Gastly	鬼斯	
93	005D	ゴースト	Haunter	鬼斯通	
94	005E	ゲンガー	Gengar	耿鬼	
95	005F	イワーク	Onix	大岩蛇	
96	0060	スリープ	Drowzee	催眠貘	
97	0061	スリーパー	Hypno	引梦貘人	
98	0062	クラブ	Krabby	大钳蟹	
99	0063	キングラー	Kingler	巨钳蟹	
100	0064	ビリリダマ	Voltorb	霹雳电球	
101	0065	マルマイン	Electrode	顽皮雷弹	
102	0066	タマタマ	Exeggcute	蛋蛋	
103	0067	ナッシー	Exeggutor	椰蛋树	
104	0068	カラカラ	Cubone	卡拉卡拉	
105	0069	ガラガラ	Marowak	嘎啦嘎啦	
106	006A	サワムラー	Hitmonlee	飞腿郎	
107	006B	エビワラー	Hitmonchan	快拳郎	
108	006C	ベロリンガ	Lickitung	大舌头	
109	006D	ドガース	Koffing	瓦斯弹	
110	006E	マタドガス	Weezing	双弹瓦斯	
111	006F	サイホーン	Rhyhorn	独角犀牛	
112	0070	サイドン	Rhydon	钻角犀兽	
113	0071	ラッキー	Chansey	吉利蛋	
114	0072	モンジャラ	Tangela	蔓藤怪	
115	0073	ガルーラ	Kangaskhan	袋兽	
116	0074	タッツー	Horsea	墨海马	
117	0075	シードラ	Seadra	海刺龙	
118	0076	トサキント	Goldeen	角金鱼	
119	0077	アズマオウ	Seaking	金鱼王	
120	0078	ヒトデマン	Staryu	海星星	LG
121	0079	スターミー	Starmie	宝石海星	LG
122	007A	バリヤード	Mr. Mime	魔墙人偶	
123	007B	ストライク	Scyther	飞天螳螂	FR
124	007C	ルージュラ	Jynx	迷唇姐	
125	007D	エレブー	Electabuzz	电击兽	FR
126	007E	ブーバー	Magmar	鸭嘴火兽	LG
127	007F	カイロス	Pinsir	凯罗斯	LG
128	0080	ケンタロス	Tauros	肯泰罗	
129	0081	コイキング	Magikarp	鲤鱼王	
130	0082	ギャラドス	Gyarados	暴鲤龙	
131	0083	ラプラス	Lapras	拉普拉斯	
132	0084	メタモン	Ditto	百变怪	
133	0085	イーブイ	Eevee	伊布	
134	0086	シャワーズ	Vaporeon	水伊布	
135	0087	サンダース	Jolteon	雷伊布	
