No.	JP_name	EN_name	CN_name	HP	ATK	DEF	SPA	SPD	SPE	BST
0	N/A	N/A	N/A	-	-	-	-	-	-	-
1	フシギダネ	Bulbasaur	妙蛙种子	45	49	49	65	65	45	318
2	フシギソウ	Ivysaur	妙蛙草	60	62	63	80	80	60	405
3	フシギバナ	Venusaur	妙蛙花	80	82	83	100	100	80	525
4	ヒトカゲ	Charmander	小火龙	39	52	43	60	50	65	309
5	リザード	Charmeleon	火恐龙	58	64	58	80	65	80	405
6	リザードン	Charizard	喷火龙	78	84	78	109	85	100	534
7	ゼニガメ	Squirtle	杰尼龟	44	48	65	50	64	43	314
8	カメール	Wartortle	卡咪龟	59	63	80	65	80	58	405
9	カメックス	Blastoise	水箭龟	79	83	100	85	105	78	530
10	キャタピー	Caterpie	绿毛虫	45	30	35	20	20	45	195
11	トランセル	Metapod	铁甲蛹	50	20	55	25	25	30	205
12	バタフリー	Butterfree	巴大蝶	60	45	50	80	80	70	385
13	ビードル	Weedle	独角虫	40	35	30	20	20	50	195
14	コクーン	Kakuna	铁壳蛹	45	25	50	25	25	35	205
15	スピアー	Beedrill	大针蜂	65	80	40	45	80	75	385
16	ポッポ	Pidgey	波波	40	45	40	35	35	56	251
17	ピジョン	Pidgeotto	比比鸟	63	60	55	50	50	71	349
18	ピジョット	Pidgeot	大比鸟	83	80	75	70	70	91	469
19	コラッタ	Rattata	小拉达	30	56	35	25	35	72	253
20	ラッタ	Raticate	拉达	55	81	60	50	70	97	413
21	オニスズメ	Spearow	烈雀	40	60	30	31	31	70	262
22	オニドリル	Fearow	大嘴雀	65	90	65	61	61	100	442
23	アーボ	Ekans	阿柏蛇	35	60	44	40	54	55	288
24	アーボック	Arbok	阿柏怪	60	85	69	65	79	80	438
25	ピカチュウ	Pikachu	皮卡丘	35	55	30	50	40	90	300
26	ライチュウ	Raichu	雷丘	60	90	55	90	80	100	475
27	サンド	Sandshrew	穿山鼠	50	75	85	20	30	40	300
28	サンドパン	Sandslash	穿山王	75	100	110	45	55	65	450
29	ニドラン♀	Nidoran♀	尼多兰	55	47	52	40	40	41	275
30	ニドリーナ	Nidorina	尼多娜	70	62	67	55	55	56	365
31	ニドクイン	Nidoqueen	尼多后	90	82	87	75	85	76	495
32	ニドラン♂	Nidoran♂	尼多朗	46	57	40	40	40	50	273
33	ニドリーノ	Nidorino	尼多力诺	61	72	57	55	55	65	365
34	ニドキング	Nidoking	尼多王	81	92	77	85	75	85	495
35	ピッピ	Clefairy	皮皮	70	45	48	60	65	35	323
36	ピクシー	Clefable	皮可西	95	70	73	85	90	60	473
37	ロコン	Vulpix	六尾	38	41	40	50	65	65	299
38	キュウコン	Ninetales	九尾	73	76	75	81	100	100	505
