No.	HEX	JP_name	EN_name	CN_name	JP_type	EN_type	CN_type	Power	Accuracy	PP
1	0001	はたく	拍击	Pound	ノーマル	Normal	一般	40	100	35
2	0002	からてチョップ	空手劈	Karate Chop	かくとう	Fighting	格斗	50	100	25
3	0003	おうふくビンタ	连环巴掌	Double Slap	ノーマル	Normal	一般	15	85	10
4	0004	れんぞくパンチ	连续拳	Comet Punch	ノーマル	Normal	一般	18	85	15
5	0005	メガトンパンチ	百万吨重拳	Mega Punch	ノーマル	Normal	一般	80	85	20
6	0006	ネコにこばん	聚宝功	Pay Day	ノーマル	Normal	一般	40	100	20
7	0007	ほのおのパンチ	火焰拳	Fire Punch	ほのお	Fire	火	75	100	15
8	0008	れいとうパンチ	冰冻拳	Ice Punch	こおり	Ice	冰	75	100	15
9	0009	かみなりパンチ	雷电拳	Thunder Punch	でんき	Electric	电	75	100	15
10	000A	ひっかく	抓	Scratch	ノーマル	Normal	一般	40	100	35
11	000B	はさむ	夹住	Vise Grip	ノーマル	Normal	一般	55	100	30
12	000C	ハサミギロチン	极落钳	Guillotine	ノーマル	Normal	一般	变化	变化	5
13	000D	かまいたち	旋风刀	Razor Wind	ノーマル	Normal	一般	80	75	10
14	000E	つるぎのまい	剑舞	Swords Dance	ノーマル	Normal	一般	-	-	30
15	000F	いあいぎり	居合劈	Cut	ノーマル	Normal	一般	50	95	30
16	0010	かぜおこし	起风	Gust	ひこう	Flying	飞行	40	100	35
17	0011	つばさでうつ	翅膀攻击	Wing Attack	ひこう	Flying	飞行	60	100	35
18	0012	ふきとばし	吹飞	Whirlwind	ノーマル	Normal	一般	-	100	20
19	0013	そらをとぶ	飞翔	Fly	ひこう	Flying	飞行	70	95	15
20	0014	しめつける	绑紧	Bind	ノーマル	Normal	一般	15	75	20
21	0015	たたきつける	摔打	Slam	ノーマル	Normal	一般	80	75	20
22	0016	つるのムチ	藤鞭	Vine Whip	くさ	Grass	草	35	100	10
23	0017	ふみつけ	踩踏	Stomp	ノーマル	Normal	一般	65	100	20
24	0018	にどげり	二连踢	Double Kick	かくとう	Fighting	格斗	30	100	30
25	0019	メガトンキック	百万吨重踢	Mega Kick	ノーマル	Normal	一般	120	75	5
26	001A	とびげり	飞踢	Jump Kick	かくとう	Fighting	格斗	70	95	25
